UMLS code of SE,all proteins
C0085602,ADRA1A ADRA1B ADRA2B ADRA2B@inh ADRA2C DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HRH3 HTR1A HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR7
C0476273,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0040822,CYP2C9 SCN5A SCN5A@inh
C0025222,CYP2C9 CYP2C9@inh PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT2B7
C0009806,CYP2D6 SLC6A4 SLC6A4@inh
C2937350,CYP2B6 CYP2B6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4@inh
C0037036,CHRM1 CHRM2 CHRM3 CHRM3@act CHRM4 CHRM5 HTR1B@inh
C0043096,ADRA2A@inh CYP3A4 CYP3A4@inh HTR2A HTR2B HTR2C HTR2C@inh HTR7 HTR7@inh SLC6A4 SLC6A4@inh
C0032617,ADRA1B@inh HTR1B HTR1D HTR1E HTR1F HTR2C HTR2C@inh SLC6A4
C0151744,CYP3A4 HTR1B HTR1B@act HTR1D@act
C0030312,CYP2C8 CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0004245,CYP3A4 KCNH2 KCNH2@inh
C0022346,ADRA1A@inh CYP1A2 CYP2D6@inh DRD1@inh DRD3@inh DRD5@inh HTR5A HTR6 SLC6A4
C0026266,ADRA1A@inh ADRA2A ADRA2B ADRA2C DRD1 DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR2A HTR2B HTR2C HTR6 HTR7
C0018794,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3 CYP2D6
C0018524,GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP
C0041582,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0018824,DRD1@act DRD2@act DRD3@act DRD4@act DRD5@act HTR1A@act HTR1B@act HTR1D@act HTR2A@act HTR2B HTR2B@act HTR2C@act
C0003578,OGFR OPRD1 OPRD1@act OPRK1 OPRM1 OPRM1@act
C0035078,AGTR1 AGTR1@inh CYP2C9
C0027066,CYP2B6 CYP2B6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A4@inh
C0034150,IL8 PTGS1@inh PTGS2 PTGS2@inh
C0020453,HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act
C0744727,ADRA1A@inh ADRA1B@inh HTR2C@inh KCNH2
C0271650,NR3C1 NR3C1@act
C0028754,CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A4
C0019080,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0033975,CYP3A4 DRD1 DRD1@act DRD2@act DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR2C HTR2C@act
C0042024,ADRA2A@inh CYP2D6@inh CYP3A4 DRD2@act HTR2A HTR2B HTR2C HTR2C@inh OPRK1 SLC6A4 SLC6A4@inh
C0042514,CYP1A2 DRD4 DRD4@inh KCNH2
C0151692,NR3C1 NR3C1@act
C0004134,SCN5A SCN5A@inh
C0151971,IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0011603,ACE ACE@inh
C0015300,CYP2B6@inh SLC6A2 SLC6A3 SLC6A4@inh
C0004245,SCN5A
C0028961,HTR2C SLC6A4@inh
C0027092,CHRM1@act
C0546884,ACE ACE@inh
C0039070,SCN5A
C0003578,GABRA1
C0019158,CYP2C8@inh CYP2C9@inh
C0002871,CYP2C8 CYP2C8@inh CYP2C9@inh
C0022346,CYP2C8 CYP2C8@inh CYP2C9@inh
C0021400,CYP3A4 HTR2B
C2979982,CYP3A4 CYP3A4@inh PTAFR
C0024902,ADRA2A@inh CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh HTR1F HTR2B HTR2C HTR6@inh SLC6A4
C0022408,CYP1A2 CYP2B6@inh CYP2C9 CYP2C9@inh
C0020564,CYP3A4 ESR1@act
C0003862,CYP3A4 CYP3A4@inh CYP3A5
C0040034,CYP2C8@inh CYP2C9 CYP2C9@inh
C0014724,CYP2C8 CYP2C9 CYP2C9@inh CYP3A4
C0151904,CYP2C9 CYP2C9@inh CYP3A4 CYP3A4@inh CYP3A5
C0021400,CYP2C8 CYP2C8@inh CYP2C9
C0041834,CYP2C8 CYP2C8@inh CYP2C9 CYP2C9@inh
C0231528,CYP2D6 CYP3A4 CYP3A4@inh
C0702166,CYP3A4 HTR2C SLC6A3@inh SLC6A4 SLC6A4@inh
C0014742,CACNA1B CYP2C8 CYP2C8@inh CYP2C9@inh
C0042109,CYP1A2 CYP1A2@inh CYP2C9 CYP2C9@inh
C0220982,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh ADRB1 CHRM4@inh CHRM5 CHRM5@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0042384,CYP1A2 CYP1A2@inh CYP2C8 CYP2C8@inh CYP2C9@inh
C0151538,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh ADRB1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0018965,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0020555,NR3C1 NR3C1@act
C0030794,CYP3A4 CYP3A4@inh CYP3A5@inh CYP3A7 CYP3A7@inh
C0267596,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0014549,ADRA2A ADRA2B ADRA2C DRD2 DRD3 DRD4 DRD5 DRD5@inh HRH1 HTR1A HTR2A HTR2C HTR7
C0267596,CYP2C9 CYP2C9@inh
C0004093,CYP2B6@inh CYP2C9 CYP2C9@inh CYP2D6 CYP2D6@inh
C0037199,CYP2C8 CYP2C9 CYP2C9@inh CYP3A4
C0026113,NR3C1 NR3C1@act
C0162529,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0016204,CYP2C9 CYP2C9@inh CYP3A4
C0029261,ADRA2A CHRM1 CYP2D6 HTR2A HTR2C HTR4 SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
C0043352,ADRA2A ADRA2B ADRA2C HTR1B HTR1D
C0162830,CYP1A2 CYP2B6@inh CYP2C9 CYP3A4
C0234458,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0149741,AR ESR1 ESR1@act ESR1@inh PGR PGR@act
C0948281,CYP2B6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4@inh
C0036104,CHRM3 CHRM3@act CHRM3@inh
C0085583,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh PTAFR SLC6A4 TBXA2R
C0036973,OPRD1 OPRD1@act OPRK1 OPRK1@act OPRM1 OPRM1@act
C0549209,DRD2 DRD3@inh DRD4 DRD4@inh HTR2C
C0235146,OGFR OPRD1 OPRD1@act OPRK1 OPRK1@act OPRL1 OPRM1 OPRM1@act
C0423791,CYP2B6 CYP2B6@inh CYP2C9 CYP2C9@inh CYP3A4 CYP3A4@inh
C0857257,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh
C0002871,CYP1A2 CYP1B1 CYP3A4 CYP3A4@inh
C0023067,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0018834,PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT1A1 UGT2B7
C0029261,SLC6A3 SLC6A3@inh
C0151746,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT1A4 UGT2B7
C0162566,ABCC8 CYP2C9
C0549622,SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0015734,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD1@inh DRD2@act DRD3@inh DRD4@inh DRD5@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR1E HTR2C@inh HTR3A@inh HTR5A HTR6@inh HTR7@inh KCNH2 PTAFR SLC6A4
C0085606,CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0005747,ADRA2C ADRA2C@act DRD1 DRD1@act DRD2 DRD2@act DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1B HTR1B@act HTR1D HTR1D@act HTR2B HTR7
C0549209,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0002994,AGTR1@inh CYP2C9 CYP2C9@inh
C0036104,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A HTR6 HTR6@inh HTR7 PTAFR SLC6A4
C0151514,NR3C1 NR3C1@act
C0036104,CHRM2 CHRM2@inh CHRM4 CHRM4@inh
C0037315,HTR2C HTR2C@inh SLC6A4
C0151889,ADRA2A ADRA2B ADRA2C CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2C HTR2C@inh HTR7
C0746883,DHFRL1 TYMS TYMS@inh
C0920289,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C CHRM1 CYP2D7P1 DRD1 DRD1@inh DRD2 DRD2@act DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C HTR2C@inh HTR6 HTR7 HTR7@inh SLC6A4
C0013132,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2C DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH3 HTR1A HTR1A@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR5A HTR6 HTR7
C0039070,HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR2B HTR7
C0043387,CYP2B6 CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0015644,ACHE ACHE@inh BCHE BCHE@inh
C0917799,HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR1F HTR2B PTAFR TBXA2R
C0043387,HTR1A HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act
C0011071,ADRA1A ADRA1A@inh ADRA1B@inh ADRA2A ADRA2B ADRA2C DRD1@inh DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HTR1D HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7 KCNH2 SLC6A4
C0014724,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0036104,CHRM1 CHRM1@act
C0240802,ADRA1A ADRA1A@inh ADRA1B ADRA2A ADRA2B ADRA2C CALM1 CALML3 CALN1 CHRM3 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HTR1A HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7
C0262988,SLC12A3 SLC12A3@inh
C0917801,DRD1 DRD2@act DRD4 DRD5 HTR1B HTR1D HTR2B
C0024902,CYP2B6 CYP2B6@inh
C0151602,AGTR1 AGTR1@inh SLC15A1 SLC15A1@inh UGT1A4
C0027765,CYP2D6 CYP3A4
C0152029,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C DRD2 HTR1A HTR1A@inh HTR1D HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR7 SLC6A4
C0013146,OPRD1 OPRD1@act OPRK1 OPRK1@act OPRM1 OPRM1@act
C0149931,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0018799,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A4
C0231528,CYP1A2 CYP2C9 CYP2C9@inh
C0242429,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0751295,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0151610,HTR1F
C0231530,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh DRD1@inh DRD2@act DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR7 PTAFR
C0349506,CYP2C9 CYP2C9@inh
C0549209,CHRM1 HTR2A HTR4 HTR6 HTR7
C0151942,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0151610,DRD1 DRD1@inh DRD2@act DRD3 DRD4 DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2B HTR7 HTR7@inh PTAFR
C0740394,CA12 CA4 CA9 SLC12A1 SLC12A1@inh
C0021167,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh CYP2D6 CYP2D6@inh DRD2@act DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1D HTR2A HTR2B HTR2C HTR2C@inh HTR7 SLC6A4
C0026821,CYP2C9@act CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh CYP3A7
C0039070,ADRA1A@inh ADRA1B@inh CYP2D6 HTR2A HTR2A@inh HTR2C HTR2C@inh SLC6A4
C0855329,ADRA1A@inh ADRA1B@inh ADRA2A@inh ADRA2B@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR1A@inh HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A KCNH2 PTAFR TBXA2R
C0013362,SLC6A2@inh SLC6A4 SLC6A4@inh
C0595930,ADRA2A CYP2D6@inh DRD1 DRD4 DRD5 HTR1D@inh HTR2A HTR2B HTR2C HTR2C@inh HTR6 HTR7 SLC6A4
C2979982,CYP2B6 CYP2B6@inh CYP2D6@inh SLC6A3 SLC6A4 SLC6A4@inh
C0037315,ADRA2A ADRA2B ADRA2C DRD1 DRD2 DRD2@act DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1B HTR1D HTR2A HTR2B HTR7
C0000737,CYP2C9 CYP3A4
C0003615,DRD3@act DRD4@act DRD5@act HTR2A HTR2B HTR2C
C0151626,CYP2C8 CYP2C8@inh CYP2C9@act CYP2C9@inh
C0017566,CACNA1B CACNA1C CACNA1D CACNA1F CACNA1G CACNA1I CACNA1S
C0029134,CYP1A1 CYP1B1 ESR1@inh
C0349506,CHRM5 CYP2D6@inh DRD1 DRD1@inh DRD3@inh DRD4@inh DRD5@inh HRH1 HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A HTR6 HTR7 SLC6A4
C0442874,CYP1A2 CYP2C8 CYP2C8@inh CYP2C9 CYP2C9@inh
C0013362,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh CHRM5@inh DRD1 DRD1@inh DRD2 DRD3 DRD5 HTR1A@inh HTR1B HTR1B@inh HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2C HTR2C@inh HTR6 HTR6@inh HTR7 PTAFR TBXA2R
C0152128,OPRD1 OPRD1@act OPRK1 OPRK1@act OPRM1 OPRM1@act
C0023518,DRD4 DRD4@act DRD4@inh
C0151836,CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A3 SLC6A4 SLC6A4@inh
C0312420,ADRA2A@act ADRA2B ADRA2C DRD1 DRD1@act DRD2 DRD2@act DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR2A HTR2A@act HTR2B HTR2B@act HTR2C HTR2C@act
C1167709,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0011991,CYP1A2 CYP2C8 CYP2C8@inh CYP2C9 CYP2D6 CYP2D6@inh
C0043387,ADRA2A ADRA2B@act ADRA2C@act HTR2A HTR2B HTR2B@act HTR2C HTR2C@act
C0002170,CYP2C9@inh CYP3A4 CYP3A4@inh
C0013378,CYP2C9 CYP2C9@inh
C0026848,CYP2C8 CYP2C9 CYP2C9@act CYP2C9@inh CYP3A4 CYP3A4@act CYP3A4@inh
C0042023,CYP2B6 CYP2B6@inh CYP2C9 CYP3A4
C0151836,ADRA1A@inh ADRA2A ADRA2A@inh HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2C HTR2C@inh
C0020461,AGTR1 AGTR1@inh CYP2C9 SLC15A1@inh
C0033581,SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
C0151315,CYP2B6 CYP2C9 CYP2C9@inh CYP3A4 CYP3A4@inh
C0042571,HTR2A HTR2B HTR2C HTR2C@inh
C0038587,CYP2B6 SLC6A2 SLC6A3 SLC6A4@inh
C0042029,CYP2C9 CYP3A4
C0020676,CHRM1 CYP2D6@inh SLC6A4 SLC6A4@inh
C0027796,CYP2B6@inh CYP2C9 CYP2D6 CYP3A4
C0015663,ADRA2A ADRA2A@inh CYP3A4 CYP3A4@inh DRD1 DRD2@act DRD3 DRD5 HTR1A@inh HTR2A HTR2B HTR2C HTR2C@inh HTR3A HTR6 HTR7 HTR7@inh PTAFR
C0234215,HTR1B HTR1B@act HTR1D HTR1D@act
C0020676,ADRA2A HTR2A HTR2B HTR2C HTR2C@inh HTR7
C0234238,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0042571,CYP2C9 CYP2C9@inh
C0232462,SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0013395,CYP2C8 CYP2C9@inh CYP2D6 CYP3A4
C0027813,CYP1A2 CYP2C9 CYP2C9@inh
C0042798,CYP2B6@inh CYP2C9 CYP2C9@inh CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh
C0233632,CYP2B6 CYP2B6@inh
C0011168,ADRA2A ADRA2B ADRA2C DRD1 DRD1@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C HTR2C@inh HTR5A HTR6 HTR6@inh HTR7 PTAFR SLC6A4
C0016204,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0040188,SLC6A2 SLC6A2@inh SLC6A3 SLC6A4
C0040456,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD1@inh DRD2@act DRD3@inh DRD5@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6@inh HTR7@inh PTAFR SLC6A4
C0012569,CYP2B6 CYP2B6@inh
C0031350,CYP2C9 CYP2C9@inh CYP3A4
C0231530,HTR1F OPRK1
C0232461,SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0442874,CYP3A4 CYP3A4@inh CYP3A5 CYP3A7
C0032533,CYP2C9@act LDLCQ3 LDLCQ3@inh
C0085298,PDE5A PDE5A@inh
C0520463,CYP2C8@inh CYP2C9@act LDLCQ3 LDLCQ3@inh
C0011880,ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM5@inh CYP2D7P1 DRD1 DRD1@inh DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1@inh HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR1F HTR2A@inh HTR2B HTR2C@inh HTR5A HTR6 HTR7 HTR7@inh PTAFR SLC6A4 TBXA2R
C0041105,CHRM2 CYP2D6 CYP2D6@inh HTR2A HTR4 SLC6A3 SLC6A4 SLC6A4@inh
C0162820,NR3C1 NR3C1@act
C0349506,HTR1B HTR1D HTR1E HTR1F
C0005747,ADRA1B ADRA2A ADRA2B ADRA2B@act ADRA2B@inh HTR1A HTR2A HTR2C HTR6
C0014549,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
C0023308,CYP2C9 LDLCQ3 LDLCQ3@inh
C0003467,DRD2@act DRD3@act DRD4@act DRD5@act
C0011551,ADRA1B@inh ADRA2A@inh CYP2D6 CYP2D6@inh HTR2C@inh
C0023518,ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM5@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR5A HTR6 HTR6@inh HTR7 OPRK1 PTAFR SLC6A4 TBXA2R
C0085628,ADRA2A ADRA2A@inh HTR2A HTR2B HTR2C HTR2C@inh HTR7
C0151576,CYP2C8@inh CYP2C9 CYP2C9@inh PPARA
C0023533,CYP1B1 ESR1 ESR1@act ESR2
C0003467,HTR1B HTR1B@act HTR1D HTR1D@act
C0019158,CYP1A2 CYP1A2@inh
C0028778,HTR1B HTR1D HTR1E HTR1F HTR2B HTR2C@inh HTR5A HTR7
C0151610,ADRA2A@inh ADRA2B@inh ADRA2C@inh HTR2C HTR2C@inh OPRK1
C0409974,CYP2E1 MPO
C0549622,ADRA2A CHRM1 CYP2D6 CYP2D6@inh HTR2A HTR2C HTR4 OPRK1
C1510410,CYP2B6 CYP2B6@inh CYP2D6
C0151706,ESR1 ESR1@act ESR1@inh ESR2
C0028738,SCN5A SCN5A@inh
C0013144,HRH1 HRH1@inh
C0004096,CYP2B6@inh CYP2C9 CYP2C9@inh
C0017160,CYP2B6@inh CYP2C9
C0020625,ADRA2A@inh HTR1A@inh HTR1D@inh HTR2A HTR2C HTR2C@inh HTR6@inh HTR7 OPRK1 PTAFR SLC6A4 TBXA2R
C0025874,ESR1 PGR PGR@act
C0026848,CYP2D6 CYP2D6@inh CYP3A5 CYP3A7 LDLCQ3 LDLCQ3@inh
C0151905,CYP2C9 CYP2C9@inh CYP3A4
C0232461,ADRA2A@inh HRH1@inh HTR1A HTR1D HTR1F HTR2A HTR2B HTR2C HTR2C@inh HTR7
C0278106,HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0006277,CYP2C8 CYP2C9
C0038661,ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh HTR2C HTR2C@inh SLC6A4
C0151772,CYP2B6@inh SLC6A3 SLC6A4 SLC6A4@inh
C0006147,CHRM1@inh CHRM2@inh CHRM3@inh CHRM4@inh
C0009806,CHRM5
C0039070,CYP2C9
C0233407,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
C0027051,CYP2C9 PTGS1 PTGS2@inh
C0851578,CYP2D6 CYP2D6@inh HTR2C OPRK1 SLC6A4
C0003123,CYP2C9 CYP3A5 CYP3A7
C0003862,CYP1A2 CYP2B6@inh CYP2C9 CYP2C9@inh CYP2D6
C0013491,CYP2C9 CYP2C9@inh UGT1A4 UGT2B7
C0030554,CYP2C9 CYP2C9@inh
C0151576,CYP3A4 CYP3A4@inh HTR1D@inh
C0008370,CYP1A1 CYP1A2 CYP2C9 CYP2C9@inh FMO3
C0917799,ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh DRD1 DRD1@inh DRD2 DRD2@act DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR2A HTR2C HTR2C@inh HTR3A HTR6 HTR7 HTR7@inh SLC6A4
C0231530,SLC6A3@inh SLC6A4 SLC6A4@inh
C0547030,OGFR OPRD1@act OPRK1@act OPRL1 OPRM1 SIGMAR1
C0687133,CYP3A4 CYP3A4@inh CYP3A7
C0013595,SLC6A2 SLC6A3@inh SLC6A4 SLC6A4@inh
C0014518,CYP2C8 CYP2C8@inh CYP2C9@act CYP2C9@inh
C0017979,ADRA2A DRD1 DRD1@inh DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C HTR5A HTR6 HTR7
C0018799,CYP3A4 CYP3A4@inh
C0151610,CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0233632,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0521516,CYP2C9@act LDLCQ3 LDLCQ3@inh
C0543698,CYP2B6@act CYP2C9@act LDLCQ3 LDLCQ3@inh
C0858635,ADRA2B@inh CYP2D6@inh HTR1A@inh HTR1D HTR2A HTR2B HTR2C HTR2C@inh HTR7 OPRK1 SLC6A4
C0033581,ADRA2A DRD2@act DRD3@act DRD4@act DRD5@act HTR1B HTR1D HTR2A HTR2C HTR7
C0043352,CYP2C9
C0085632,CYP2D6 CYP2D6@inh SLC6A2 SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0344320,CYP2D6 HTR1A HTR1D HTR2A HTR2B HTR2C
