UMLS code of SE,all proteins
C0241442,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh ADRB1 CALM1 CALM1@inh CALML3 CALN1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HRH3 HRH4 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 KCNH2@inh OPRK1 PTAFR SLC6A4 TBXA2R
C0234133,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA1D@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CALM1 CALML3 CALN1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh CYP3A7 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HRH3 HRH4 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh TBXA2R
C0392156,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR3B HTR3C HTR3D HTR3E HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SIGMAR1 SLC6A4 TBXA2R
C0427086,ADRA1B ADRA1B@inh ADRA1D ADRA2B@inh CHRM1 CHRM3 CHRM5 CYP1A2 CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@act DRD3@inh DRD4 DRD4@act DRD4@inh DRD5 DRD5@act DRD5@inh HRH2 HRH3 HTR1A HTR1A@inh HTR1B HTR1E HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh KCNH2 PTAFR SIGMAR1 TBXA2R
C0027707,ALB CYP2C9 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT1A1 UGT1A4 UGT2B7
C0686347,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP1A2 CYP2D6 CYP2D6@inh CYP2E1 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HRH3 HRH4 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0235660,ADRA1A@inh ADRA1B@inh ADRA1D@inh ADRA2A@inh CHRM1 CHRM2 CHRM3 CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP1A2 CYP2B6 CYP2C19 CYP2D6 CYP2D6@inh HRH1@inh HTR1A@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0027849,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2C CALM1 CALML3 CALN1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HRH3 HRH4 HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR7 HTR7@inh KCNH2 OPRK1 PTAFR TBXA2R
C0948281,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2C CALM1 CALML3 CALN1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HRH3 HRH4 HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0427086,ADRA1A ADRA1A@inh ADRA2A ADRA2A@inh ADRA2B ADRA2C CHRM2 HRH1 HRH1@inh HTR1D HTR2A HTR2A@inh HTR2B HTR2C HTR7 OPRK1 SLC6A4
